Word,Meaning
stoop,bend one's back forward from the waist on down
strain,exert much effort or energy
stray,wander from a direct course or at random
striate,marked with stripes
strive,attempt by employing effort
strut,"walk in a proud, confident way"
subdue,put down by force or intimidation
suborn,incite to commit a crime or an evil deed
subpoena,a writ issued to compel the attendance of a witness
subsequent,following in time or order
subside,wear off or die down
substantial,real; having a material or factual existence
succumb,"give in, as to overwhelming force, influence, or pressure"
supplant,take the place or move into the position of
supplicate,"ask for humbly or earnestly, as in prayer"
susceptible,yielding readily to or capable of
sway,move back and forth
swift,moving very fast
swindle,deprive of by deceit
tacit,implied by or inferred from actions or statements
taciturn,habitually reserved and uncommunicative
tamp,press down tightly
tangential,of superficial relevance if any
tangible,"perceptible by the senses, especially the sense of touch"
tantalize,harass with persistent teasing or baiting
tapestry,a wall hanging of heavy fabric with pictorial designs
tarnish,"make or become dirty or dull, as by exposure to air"
taut,pulled or drawn tight
temperate,not extreme
tenable,based on sound reasoning or evidence
tentative,hesitant or lacking confidence; unsettled in mind or opinion
tepid,moderately warm
tirade,a speech of violent denunciation
topple,"fall down, as if collapsing"
torment,intense feelings of suffering; acute mental or physical pain
torpid,in a condition of biological rest or suspended animation
torpor,a state of motor and mental inactivity
tout,advertise in strongly positive terms
traitor,a person who says one thing and does another
trample,tread or stomp heavily or roughly
transgress,"act in disregard of laws, rules, contracts, or promises"
treacherous,dangerously unstable and unpredictable
tremor,"an involuntary vibration, as if from illness or fear"
trenchant,having keenness and forcefulness and penetration in thought
trepidation,a feeling of alarm or dread
truce,a state of peace agreed to between opponents
truculence,stubborn and defiant aggressiveness
turpitude,a corrupt or depraved or degenerate act or practice
tyro,someone new to a field or activity
unequivocal,admitting of no doubt or misunderstanding
untenable,incapable of being defended or justified
untoward,not in keeping with accepted standards of what is proper
uphold,"stand up for; stick up for; of causes, principles, or ideals"
uproar,a state of commotion and noise and confusion
usurp,seize and take control without authority
vacillate,be undecided about something
vagary,an unexpected and inexplicable change in something
vagrant,a wanderer with no established residence or means of support
valiant,having or showing heroism or courage
vanity,feelings of excessive pride
varnish,"a coating that provides a hard, lustrous finish to a surface"
vehemence,intensity or forcefulness of expression
venerable,profoundly honored
venerate,regard with feelings of respect and reverence
veracious,habitually speaking the truth
veracity,unwillingness to tell lies
verdant,characterized by abundance of vegetation and green foliage
veritable,not counterfeit or copied
vertigo,a reeling sensation; a feeling that you are about to fall
vex,"disturb, especially by minor irritations"
viable,capable of life or normal growth and development
vicious,having the nature of evildoing
vigilance,the process of paying close and continuous attention
vigor,forceful exertion
vilify,spread negative information about
vindicate,show to be right by providing justification or proof
vindictive,disposed to seek revenge or intended for revenge
vituperate,spread negative information about
vituperative,marked by harshly abusive criticism
vogue,a current state of general acceptance and use
voluptuous,displaying luxury and furnishing gratification to the senses
voracious,devouring or craving food in great quantities
vulnerable,capable of being wounded or hurt
wan,"pale, as of a person's complexion"
wardrobe,a piece of furniture that provides storage space for clothes
wary,marked by keen caution and watchful prudence
waver,pause or hold back in uncertainty or unwillingness
weary,physically and mentally fatigued
welter,a confused multitude of things
wheedle,"influence or urge by gentle urging, caressing, or flattering"
whimsical,determined by chance or impulse rather than by necessity
wile,the use of tricks to deceive someone
withhold,hold back; refuse to hand over or share
zealot,a fervent and even militant proponent of something
zenith,the highest point of something
zephyr,a slight wind
